epoch,loss,mrcnn_bbox_loss,mrcnn_class_loss,mrcnn_mask_loss,rpn_bbox_loss,rpn_class_loss,val_loss,val_mrcnn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_mask_loss,val_rpn_bbox_loss,val_rpn_class_loss
0,24.50436782836914,0.4779149889945984,0.020303092896938324,0.187041237950325,12.91610050201416,10.903010368347168,24.80719757080078,0.21656745672225952,0.015364259481430054,0.06384802609682083,13.002099990844727,11.509317398071289
1,3.168943166732788,0.8576390743255615,0.2541777789592743,0.6392095685005188,1.304215431213379,0.1137014701962471,2.273775815963745,0.4985191822052002,0.2563232481479645,0.5925752520561218,0.9038265347480774,0.022531984373927116
2,2.050999164581299,0.43780168890953064,0.20182381570339203,0.5730378031730652,0.813474178314209,0.02486155554652214,1.9167135953903198,0.3777613043785095,0.1823333203792572,0.5742999911308289,0.76105135679245,0.021267706528306007
3,1.7108938694000244,0.35452282428741455,0.1658669412136078,0.5055299401283264,0.6619071364402771,0.023067500442266464,1.5924386978149414,0.3241611123085022,0.20429719984531403,0.48272866010665894,0.5608993768692017,0.02035248838365078
4,1.4281469583511353,0.28807535767555237,0.16273780167102814,0.41979914903640747,0.5372437238693237,0.020291011780500412,1.2069711685180664,0.2672821879386902,0.14095915853977203,0.39466071128845215,0.3859289586544037,0.018140261992812157
5,1.1649476289749146,0.2357846349477768,0.1485474705696106,0.3379659950733185,0.4259103536605835,0.01673932373523712,1.109022617340088,0.23333740234375,0.13452763855457306,0.3136112093925476,0.41221141815185547,0.015334836207330227
6,1.0265315771102905,0.21024790406227112,0.14304973185062408,0.28411996364593506,0.3750665783882141,0.014047075062990189,1.0011545419692993,0.20475062727928162,0.16343769431114197,0.2908906042575836,0.3307110071182251,0.011364693753421307
7,0.8847545385360718,0.18143238127231598,0.1236579641699791,0.25074970722198486,0.3170225918292999,0.011891979724168777,0.877551794052124,0.18625791370868683,0.13256308436393738,0.2612437307834625,0.2869917154312134,0.010495363734662533
8,0.7961990833282471,0.1605217307806015,0.11233582347631454,0.23378032445907593,0.2793828248977661,0.0101785184815526,0.7518457174301147,0.1640964150428772,0.11216814070940018,0.2387944757938385,0.22770608961582184,0.00908057950437069
9,0.7051136493682861,0.1428375542163849,0.09555640071630478,0.2131148725748062,0.24463915824890137,0.008965633809566498,0.7613327503204346,0.17545732855796814,0.1276886910200119,0.24883493781089783,0.19847476482391357,0.010877118445932865
10,0.6868852972984314,0.13557319343090057,0.10352133214473724,0.20138254761695862,0.23822635412216187,0.008181705139577389,0.5958726406097412,0.12164909392595291,0.10676360130310059,0.20700986683368683,0.1529553383588791,0.007494731340557337
11,0.5947567224502563,0.11230064183473587,0.08774621784687042,0.18082842230796814,0.20622789859771729,0.0076538315042853355,0.5534886717796326,0.11876318603754044,0.10756462067365646,0.1901339590549469,0.13001804053783417,0.0070088449865579605
12,0.516360342502594,0.09632057696580887,0.07320158183574677,0.16923189163208008,0.17120008170604706,0.006406127940863371,0.4990852475166321,0.10151229053735733,0.08980438858270645,0.1843528002500534,0.11757190525531769,0.0058438461273908615
13,0.49300292134284973,0.09529518336057663,0.07005959749221802,0.16870956122875214,0.1524282842874527,0.006510236766189337,0.47244444489479065,0.09625162184238434,0.07144862413406372,0.19331660866737366,0.1057884618639946,0.0056391204707324505
14,0.42257586121559143,0.0786341205239296,0.05930376797914505,0.15238460898399353,0.12677791714668274,0.005475544836372137,0.4400964379310608,0.08418939262628555,0.07061892747879028,0.1705014407634735,0.1094726100564003,0.005314100533723831
15,0.3966033458709717,0.07505223900079727,0.05722276121377945,0.15048393607139587,0.10895994305610657,0.004884440451860428,0.41057899594306946,0.07998573035001755,0.06282611936330795,0.1807500422000885,0.082894466817379,0.004122646991163492
